feedback_text,sentiment,topic,urgency,action,source
I think Topics were interesting and engaging,positive,content,low,none,real
Headsets were provided.,neutral,equipment/setup,low,none,synthetic
Great experience overall,positive,overall,low,none,real
Training workstations were missing essential external monitors for dual display work.,negative,equipment/setup,high,inform coordinators,synthetic
My boss is going to hear about this hellish day of incompetence.,negative,overall,high,escalate,real
I would say it was okay.,neutral,overall,low,none,synthetic
The Wi-Fi was an utter damn failure and prevented all lab work. Furious!,negative,equipment/setup,high,contact venue,synthetic
The venue staff were constantly on their phones near the training room.,negative,venue,low,contact venue,synthetic
The course met basic requirements.,neutral,overall,low,none,synthetic
I got what I expected from the agenda.,neutral,overall,low,none,synthetic
"Personally, Not worth the price paid",negative,overall,high,escalate,real
It served its purpose.,neutral,venue,low,none,synthetic
The internet connection was intermittent and crashed during the final demo.,negative,equipment/setup,high,contact venue,synthetic
"A computer exploded, and the staff acted like it was no big heck of a deal! Serious hazard!",negative,equipment/setup,high,escalate,synthetic
Nothing special about the venue.,neutral,venue,low,none,synthetic
The emergency exit was blocked by furniture! Serious safety violation.,negative,venue,high,escalate,synthetic
"The 10-day course materials felt very comprehensive, but a few chapters were clearly out of date.",neutral,content,medium,modify course content,synthetic
The cables were a trip hazard! Someone is going to get seriously hurt.,negative,equipment/setup,high,escalate,real
The projection screen was visibly dirty and smudged.,negative,equipment/setup,low,contact venue,synthetic
Ok; no major issues,neutral,overall,low,none,real
Great variety of snacks and drinks,positive,catering,low,none,synthetic
"The room was a damn freezer all day, making it impossible to concentrate!",negative,venue,high,contact venue,synthetic
"Too much lecture, less practice in 10-day course.",negative,content,medium,modify course content,synthetic
Great delivery and facilitation,positive,instructor,low,none,synthetic
Received materials for the wrong course,negative,material,high,inform coordinators,real
The presentation was readable.,neutral,instructor,low,none,synthetic
Water bottles ran out quickly,negative,catering,high,contact venue,real
Setup was standard; nothing unusual,neutral,equipment/setup,low,none,real
AC was freezing; several people complained,negative,venue,high,contact venue,real
Comfortable seating and great atmosphere,positive,venue,low,none,synthetic
The venue manager was an unhelpful damn idiot when we complained about the temperature.,negative,venue,high,escalate,synthetic
Trainer was too reliant on the accompanying slides.,negative,instructor,medium,inform coordinators,synthetic
Instructor threatened to fail those who disagreed.,negative,instructor,high,escalate,synthetic
Delivery was fine,neutral,instructor,low,none,real
The presenter was clearly reading from the slides too much. I felt disengaged.,negative,instructor,medium,inform coordinators,synthetic
I think Setup was standard; nothing unusual,neutral,equipment/setup,low,none,synthetic
"From my side, Tone came across as dismissive of questions",negative,instructor,medium,inform coordinators,synthetic
Lunch arrived late and was cold,negative,catering,high,contact venue,real
Average quality sandwiches.,neutral,catering,low,none,synthetic
Constant disruptive noise from construction outside,negative,venue,high,contact venue,synthetic
The material part was neither good nor bad,neutral,material,low,none,synthetic
The instructor made complex topics easy to understand.,positive,instructor,low,none,synthetic
"I misplaced my copy, an extra digital copy would be great.",positive,material,low,none,synthetic
I think Content matched the agenda,neutral,content,low,none,real
The external speakers had one side completely muted.,negative,equipment/setup,medium,contact venue,synthetic
I am furious! The trainer made me feel stupid in front of the whole class.,negative,instructor,high,escalate,synthetic
Only one Ethernet port was working for a group of ten people.,negative,equipment/setup,medium,contact venue,synthetic
The room's single fan was broken and the air was stifling.,negative,equipment/setup,medium,contact venue,synthetic
The content is so outdated,negative,content,high,modify course content,real
"I learned some things, but not groundbreaking.",neutral,overall,low,none,synthetic
10-day content needs simplification.,neutral,content,low,modify course content,synthetic
Room size was too small for the group,negative,venue,high,contact venue,real
"The dessert was a sad, melted mess. It looked like utter garbage.",negative,catering,high,contact venue,synthetic
The break times were sufficient.,neutral,catering,low,none,synthetic
"From my side, Coverage aligned with the course outline",positive,content,low,none,real
Instructor spent too much time on personal stories.,negative,instructor,medium,inform coordinators,synthetic
The water was lukewarm.,negative,catering,low,contact venue,synthetic
"I think Too much theory, not enough practical exercises",negative,content,medium,inform instructor,real
The room thermostat was centrally controlled and we could not adjust the temperature.,negative,equipment/setup,medium,contact venue,synthetic
