feedback_text,sentiment,topic,urgency,action,source
We need to streamline the AI demos for all AI training courses,negative,equipment/setup,high,modify course content,real
Room size is small,negative,venue,high,contact venue,real
Noise outside the room in the hall,negative,venue,high,contact venue,real
The lunch was so cold and food is dry,negative,catering,high,contact venue,real
No variety of food options,negative,catering,medium,contact venue,real
Coffee machine is not working,negative,venue,high,contact venue,real
The content is so outdated,negative,content,high,modify course content,real
Excellent,positive,overall,low,none,real
The instructor is really professional,positive,instructor,low,none,real
"Wasted money, I didn't pay for this",negative,overall,high,escalate,real
I would totally recommend this company to my colleagues,positive,overall,low,none,real
No comment,neutral,overall,low,none,real
Cool,neutral,overall,low,none,real
AC is so cold,negative,venue,high,contact venue,real
Room temp is hot,negative,venue,high,contact venue,real
Ok,neutral,overall,low,none,real
Good,positive,overall,low,none,real
i still haven't received the printed materials,negative,material,high,inform coordinators,real
the materials i received is for the wrong course,negative,material,high,inform coordinators,real
i was given another venue's location! i missed day 1!,negative,venue,high,escalate,real
we need more breaks,negative,overall,medium,inform coordinators,real
too much theory,negative,content,high,inform instructor,real
so boring i almost fell asleep,negative,content,high,inform instructor,real
rasict instructor with really bad attitude,negative,content,high,escalate,real
It went as expected,neutral,overall,low,none,real
Menu was simple but fine,neutral,catering,low,none,real
Good session; no issues to report,positive,overall,low,none,real
Chairs were uncomfortable for long sessions,negative,venue,high,contact venue,real
Lunch arrived late and was cold,negative,catering,high,contact venue,real
Restrooms were not clean during the break,negative,venue,low,contact venue,real
Overall experience was great; well organized event,positive,overall,low,none,real
Microphone kept cutting out when moving around,negative,equipment/setup,high,inform coordinators,real
HDMI cables were loose and caused screen flickers,negative,equipment/setup,low,inform instructor,real
Food options were great and everyone enjoyed the variety,positive,catering,low,none,real
The lunch portion was too small for everyone,negative,catering,high,contact venue,real
Everything went smoothly and according to plan,positive,overall,low,none,real
Lighting in the hall was poor and tiring on the eyes,negative,venue,high,contact venue,real
Excellent teamwork by the organizing staff,positive,overall,low,none,real
Case studies were practical and well chosen - related to my field,positive,content,low,none,real
no issues,neutral,overall,low,none,real
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
Examples were not relevant to our industry,negative,content,high,inform instructor,real
Coverage aligned with the course outline,positive,content,low,none,real
Projector kept turning off during the session,negative,equipment/setup,medium,inform coordinators,real
Setup was standard; nothing unusual,neutral,equipment/setup,low,none,real
Water bottles ran out quickly,negative,catering,medium,contact venue,real
Great experince,positive,overall,low,none,real
Topics were interesting but a bit repetitive,negative,content,low,modify course content,real
Instructor skipped some important topics,negative,instructor,high,inform coordinators,real
NA,neutral,overall,low,none,real
Thank you,positive,overall,low,none,real
The session was boring; hard to stay engaged,negative,content,high,inform instructor,real
 Important topics were skipped,negative,content,high,escalate,real
HDMI cable was loose and caused screen flickers,negative,equipment/setup,medium,inform coordinators,real
Venue was fine; nothing special,neutral,venue,low,none,real
Great experience overall,positive,overall,low,none,real
Content matched the agenda,neutral,content,low,none,real
"Slides will be shared later, as expected",neutral,material,low,none,real
Examples were not relevant to our context,negative,content,medium,inform instructor,real
Very little variety of food options,negative,catering,medium,contact venue,real
"Personally, Not worth the price paid",negative,overall,high,escalate,real
Content felt outdated for our industry,negative,content,high,modify course content,real
Case studies were practical and well chosen,positive,content,low,none,real
Lighting was poor and tiring on the eyes,negative,venue,high,contact venue,real
"From my side, I would totally recommend this company to colleagues",positive,overall,low,none,real
Venue was convenient and comfortable,positive,venue,low,none,real
Overall experience was great; well organized event,positive,overall,low,none,real
Case studies were practical and well chosen,positive,content,low,none,real
Too much hallway noise disrupted the session,negative,venue,high,contact venue,real
Received materials for the wrong course,negative,material,high,inform coordinators,real
AC was freezing; several people complained,negative,venue,high,contact venue,real
I think No comment,neutral,overall,low,none,real
Important topics were skipped,negative,content,high,escalate,real
Room size was too small for the group,negative,venue,high,contact venue,real
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
 Examples were not relevant to our context,negative,content,high,inform instructor,real
Content was acceptable,neutral,content,low,none,real
Printed materials did not arrive in time,negative,material,medium,inform coordinators,real
Lunch was cold and the food was dry,negative,catering,high,contact venue,real
"Too much theory, not enough practical exercises",negative,content,high,inform instructor,real
 Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
I think Everything went smoothly and according to plan,positive,overall,low,none,real
 I would totally recommend this company to colleagues,positive,overall,low,none,real
Conference room was too hot and stuffy,negative,venue,medium,contact venue,real
No issues to report,neutral,overall,low,none,real
Not worth the price paid,negative,overall,high,escalate,real
Equipment was adequate,neutral,equipment/setup,low,none,real
"From my side, Disappointed with the overall experience",negative,overall,high,escalate,real
I think wifi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
Disappointed with the overall experience,negative,overall,high,escalate,real
Ok; no major issues,neutral,overall,low,none,real
Pace was too slow for the group,negative,content,medium,inform instructor,real
I would totally recommend this company to colleagues,positive,overall,low,none,real
Standard room; acceptable,neutral,venue,low,none,real
"From my side, Examples were not relevant to our context",negative,content,high,inform instructor,real
Very little variety of food options,negative,catering,medium,contact venue,real
wifi was unstable throughout the day,negative,equipment/setup,medium,inform coordinators,real
"From my side, Water bottles ran out quickly",negative,catering,high,contact venue,real
Tone came across as dismissive of questions,negative,instructor,high,inform coordinators,real
Everything worked as expected; smooth setup,positive,equipment/setup,low,none,real
Portion sizes were too small,negative,catering,high,contact venue,real
Wifi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
I think Venue was fine; nothing special,neutral,venue,low,none,real
Explanations were unclear in several parts,negative,instructor,high,inform coordinators,real
Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
Instructor was professional and very knowledgeable,positive,instructor,low,none,real
Topics were interesting and engaging,positive,content,low,none,real
Materials were standard,neutral,material,low,none,real
Room layout worked well for activities,positive,venue,low,none,real
WiFi was unstable throughout the day,negative,equipment/setup,high,inform coordinators,real
Speakers had a constant hum,negative,equipment/setup,low,inform instructor,real
Topics were interesting and engaging,positive,content,low,none,real
"As the trainer, Too much hallway noise disrupted the session",negative,venue,medium,contact venue,real
internet was unstable throughout the last 2 days,negative,equipment/setup,high,inform coordinators,real
Speakers had a constant hum,negative,equipment/setup,high,inform coordinators,real
Instructor was late and rushed through sections,negative,instructor,medium,escalate,real
I would totally recommend this company to colleagues,positive,overall,low,none,real
 Pace was too slow for the group,negative,content,medium,inform instructor,real
Laptop adapter was missing at the start,negative,equipment/setup,medium,inform coordinators,real
I think Tone came across as dismissive of questions,negative,instructor,high,escalate,real
topics were interesting and engaging,positive,content,low,none,real
Lunch arrived late and was cold,negative,catering,high,contact venue,real
I think Microphone kept cutting out when moving around,negative,equipment/setup,high,inform coordinators,real
I think Coverage aligned with the course outline,positive,content,low,none,real
"From my side, Overall experience was great; wellâ€‘organized event",positive,overall,low,none,real
Coffee machine was not working,negative,catering,high,contact venue,real
 Coverage aligned with the course outline,positive,content,low,none,real
"From my side, The session was boring; hard to stay engaged",negative,content,high,inform instructor,real
Room size was too small for the group,negative,venue,medium,contact venue,real
Handled questions patiently and thoroughly,positive,instructor,low,none,real
I think Equipment was adequate,neutral,equipment/setup,low,none,real
Water bottles ran out quickly,negative,catering,high,contact venue,real
"I think Too much theory, not enough practical exercises",negative,content,medium,inform instructor,real
I think Topics were interesting and engaging,positive,content,low,none,real
Materials were clear and well organized,positive,material,low,none,real
Delivery was fine,neutral,instructor,low,none,real
I think Content matched the agenda,neutral,content,low,none,real
I think Needed to manage time better; skipped Q&A,negative,instructor,high,inform coordinators,real
Great delivery and facilitation,positive,instructor,low,none,real
NA,neutral,overall,low,none,real
Content felt outdated for our industry,negative,content,high,modify course content,real
Materials were clear and well organized,positive,material,low,none,real
Equipment were all functional unlike the last time,positive,equipment/setup,low,none,real
 Everything went smoothly and according to plan,positive,overall,low,none,real
"From my side, Everything went smoothly and according to plan",positive,overall,low,none,real
"From my side, Coverage aligned with the course outline",positive,content,low,none,real
I think Laptop adapter was missing at the start,negative,equipment/setup,high,inform coordinators,real
I think Catering was okay,neutral,catering,low,none,real
I think Handouts were missing several pages,negative,material,high,inform coordinators,real
No specific comment,neutral,overall,low,none,real
Needed to manage time better; skipped Q&A,negative,instructor,high,inform coordinators,real
"From my side, Too much hallway noise disrupted the session",negative,venue,high,contact venue,real
I think Examples were not relevant to our context,negative,content,medium,inform instructor,real
Laptop adapter was missing at the start,negative,equipment/setup,medium,inform coordinators,real
Everything went smoothly and according to plan,positive,overall,low,none,real
Catering was okay,neutral,catering,low,none,real
